"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_143",4e-05,0.1227,1,0.05502,0.96762,0.10442,0.68156,0.2016,0.00466,1,1,0.9757
"1_172",0.00082,0.06562,1,0.02736,0.97182,0.05356,0.7256,0.1857,0.00514,1,1,0.9788
"1_454",2e-05,0.09622,1,0.04144,0.96208,0.07948,0.73334,0.17166,0.00518,1,1,0.97086
"1_518",2e-05,0.10992,1,0.04434,0.95294,0.09586,0.75668,0.142,0.00478,1,1,0.96186
"1_298",6e-05,0.13344,1,0.04928,0.91702,0.11742,0.69728,0.1634,0.0053,1,1,0.9276
"1_100",8e-05,0.07388,1,0.03496,0.985,0.06116,0.66614,0.21288,0.0054,1,1,0.9893
"1_528",2e-05,0.14798,1,0.06618,0.95088,0.12952,0.61758,0.22254,0.00504,1,1,0.9617
"1_32",6e-05,0.0951,1,0.04852,0.9743,0.08096,0.5799,0.27634,0.00454,1,1,0.98086
"1_503",0.00036,0.04092,1,0.01202,0.98632,0.0343,0.79206,0.16122,0.00474,1,1,0.98832
"1_195",0.00026,0.17096,1,0.07024,0.91612,0.1559,0.6034,0.2141,0.0049,1,1,0.92894
"1_447",4e-05,0.09964,1,0.03144,0.97034,0.0864,0.68056,0.21192,0.00458,1,1,0.97646
"1_60",6e-05,0.09634,1,0.03202,0.9778,0.08784,0.56754,0.28626,0.00444,1,1,0.9817
"1_8",2e-05,0.13456,1,0.04546,0.96654,0.11954,0.54536,0.26752,0.00506,1,1,0.97402
"1_388",2e-05,0.10158,1,0.05566,0.96748,0.08902,0.67736,0.2103,0.00482,1,1,0.97418
"1_425",2e-04,0.07578,1,0.02634,0.96834,0.06358,0.78564,0.1418,0.00452,1,1,0.97634
"1_345",8e-05,0.13118,1,0.04684,0.96138,0.11022,0.62014,0.2274,0.00468,1,1,0.9694
"1_52",2e-04,0.17624,1,0.09892,0.94656,0.1465,0.5128,0.2955,0.00476,1,1,0.96342
"1_216",2e-05,0.11454,1,0.04056,0.94532,0.09874,0.69532,0.18076,0.00482,1,1,0.9572
"1_185",2e-05,0.12,1,0.03606,0.96154,0.10546,0.60584,0.25844,0.0044,1,1,0.96968
"1_85",2e-05,0.07242,1,0.03634,0.98256,0.06172,0.67294,0.23058,0.00472,1,1,0.98692
"1_477",2e-05,0.14826,1,0.08268,0.95278,0.12022,0.64094,0.21544,0.00474,1,1,0.96564
"1_358",2e-05,0.2207,1,0.12732,0.95218,0.18946,0.491,0.29276,0.00422,1,1,0.96478
"1_166",1e-04,0.08736,1,0.04486,0.97724,0.07094,0.67098,0.22274,0.00468,1,1,0.98332
"1_279",2e-05,0.10642,1,0.05196,0.96684,0.08922,0.69178,0.19108,0.0048,1,1,0.97452
"1_431",4e-05,0.11102,1,0.04164,0.95976,0.09784,0.692,0.19646,0.00444,1,1,0.96574
"1_173",4e-05,0.1027,1,0.05728,0.9733,0.09116,0.6694,0.21788,0.0055,1,1,0.97832
"1_76",2e-05,0.14144,1,0.06562,0.96586,0.12612,0.52022,0.30266,0.0044,1,1,0.97384
"1_57",2e-05,0.05636,1,0.02432,0.99174,0.04858,0.55516,0.2914,0.0044,1,1,0.99384
"1_262",4e-05,0.09412,1,0.02772,0.96042,0.07704,0.6738,0.18946,0.00534,1,1,0.97016
"1_104",2e-05,0.05476,1,0.02588,0.98438,0.04912,0.68388,0.22728,0.0046,1,1,0.98664
"1_102",4e-05,0.14592,1,0.0776,0.95112,0.13096,0.58666,0.23884,0.0048,1,1,0.96268
"1_194",2e-05,0.05374,1,0.02294,0.97918,0.04762,0.70842,0.21172,0.00544,1,1,0.98262
"1_266",2e-05,0.16304,1,0.0839,0.94124,0.1314,0.5885,0.25318,0.00454,1,1,0.95858
"1_174",2e-05,0.20358,1,0.0596,0.9096,0.17868,0.57876,0.21802,0.00454,1,1,0.92576
"1_69",2e-05,0.1438,1,0.04872,0.9545,0.1285,0.55802,0.27084,0.00424,1,1,0.96258
"1_307",2e-05,0.10702,1,0.04512,0.95822,0.08516,0.71598,0.1785,0.00544,1,1,0.97056
"4_439",2e-05,0.13362,1,0.03382,0.95928,0.11792,0.65532,0.21296,0.00488,1,1,0.9669
"4_269",0.00062,0.2216,1,0.0883,0.9099,0.19166,0.5505,0.22924,0.0051,1,1,0.92804
"4_274",0.00038,0.03462,1,0.01406,0.99318,0.02946,0.77374,0.17336,0.0052,1,1,0.99422
"4_240",2e-05,0.12024,1,0.03086,0.97572,0.10478,0.58628,0.2659,0.0046,1,1,0.9808
"4_56",4e-05,0.09456,1,0.04704,0.97416,0.08194,0.61766,0.25526,0.00498,1,1,0.97924
"4_164",2e-05,0.09356,1,0.03918,0.97258,0.08212,0.69774,0.1864,0.00518,1,1,0.97618
"4_429",2e-05,0.09542,1,0.02878,0.97564,0.08366,0.66474,0.22404,0.00466,1,1,0.97994
"4_14",8e-05,0.12964,1,0.07858,0.97548,0.10922,0.5774,0.27472,0.00472,1,1,0.98208
"4_401",0.00042,0.12422,1,0.03086,0.9472,0.1084,0.74394,0.14212,0.00526,1,1,0.95592
"4_327",0.00014,0.1026,1,0.03298,0.97578,0.08852,0.6709,0.21558,0.00496,1,1,0.9811
"4_209",2e-05,0.08228,1,0.03042,0.9752,0.07204,0.73258,0.18074,0.0051,1,1,0.97958
"4_118",4e-05,0.1071,1,0.02494,0.96956,0.09428,0.62218,0.24396,0.00386,1,1,0.97526
"4_57",2e-05,0.2083,1,0.06264,0.91152,0.19156,0.48492,0.2627,0.00518,1,1,0.92066
"4_334",6e-05,0.14174,1,0.03662,0.95732,0.12702,0.64612,0.20952,0.00478,1,1,0.96336
"4_376",2e-05,0.04356,1,0.01116,0.98798,0.0377,0.79636,0.15424,0.00452,1,1,0.99022
"4_410",2e-05,0.07106,1,0.02508,0.98258,0.06124,0.7295,0.1983,0.00492,1,1,0.98648
"4_185",0.00108,0.05504,1,0.01586,0.98298,0.0474,0.71896,0.19306,0.00518,1,1,0.9865
"4_305",0.00014,0.16608,1,0.05202,0.94242,0.14438,0.62772,0.21364,0.00464,1,1,0.95594
"4_76",0.00016,0.09734,1,0.02892,0.9777,0.08744,0.6441,0.2338,0.00444,1,1,0.98078
"4_123",4e-05,0.18028,1,0.05442,0.95456,0.16366,0.5456,0.26086,0.00498,1,1,0.9618
"4_109",2e-04,0.0988,1,0.0407,0.97836,0.07942,0.64624,0.23268,0.00502,1,1,0.98484
"4_162",2e-05,0.1436,1,0.0565,0.96818,0.12774,0.6019,0.25258,0.00462,1,1,0.97402
"4_155",0.00018,0.04024,1,0.02368,0.99384,0.0334,0.72156,0.20488,0.0054,1,1,0.99512
"4_5",2e-05,0.15686,1,0.11518,0.98226,0.1218,0.52954,0.2823,0.0046,1,1,0.98792
"4_153",0.00022,0.10698,1,0.05714,0.98148,0.08554,0.67524,0.21606,0.00462,1,1,0.98712
"4_62",2e-05,0.11476,1,0.06698,0.97784,0.09358,0.59084,0.26148,0.00468,1,1,0.98382
"4_437",2e-05,0.09178,1,0.02912,0.97248,0.08088,0.7133,0.19532,0.00506,1,1,0.97682
"4_239",2e-05,0.11182,1,0.02264,0.97548,0.0999,0.58288,0.2768,0.00494,1,1,0.97988
"4_97",2e-05,0.17364,1,0.09428,0.95248,0.15,0.55394,0.2672,0.0047,1,1,0.96224
"4_58",3e-04,0.11876,1,0.04676,0.9734,0.10754,0.6879,0.19136,0.00466,1,1,0.97772
"4_438",0.00026,0.09084,1,0.03206,0.97344,0.07426,0.75332,0.16368,0.00474,1,1,0.97894
"4_328",4e-05,0.19828,1,0.05312,0.934,0.1773,0.53432,0.26804,0.00466,1,1,0.94342
"4_441",2e-05,0.09122,1,0.03128,0.96746,0.078,0.72698,0.18286,0.00474,1,1,0.9734
"4_105",0.00016,0.086,1,0.03006,0.98596,0.07778,0.67852,0.21618,0.00512,1,1,0.9883
"4_210",8e-05,0.07934,1,0.03882,0.9838,0.06164,0.69578,0.21334,0.00462,1,1,0.99014
"4_221",4e-05,0.19048,1,0.10042,0.9538,0.15978,0.54882,0.26534,0.0044,1,1,0.96528
"4_282",6e-05,0.10992,1,0.04632,0.9605,0.0953,0.63704,0.23738,0.0049,1,1,0.96748
"4_426",3e-04,0.10202,1,0.0464,0.97692,0.08638,0.64792,0.2391,0.00454,1,1,0.98094
"4_374",4e-05,0.05928,1,0.02122,0.98412,0.05116,0.75416,0.18104,0.00454,1,1,0.98714
"4_236",0.00012,0.15246,1,0.06232,0.95664,0.12832,0.61356,0.23988,0.0049,1,1,0.96796
"4_412",2e-05,0.11276,1,0.05414,0.977,0.09172,0.69134,0.20248,0.0049,1,1,0.98316
"4_146",0.00016,0.1081,1,0.06568,0.98056,0.09068,0.63912,0.22896,0.00466,1,1,0.9843
"4_312",4e-05,0.0239,1,0.00786,0.99276,0.01996,0.82732,0.1419,0.0049,1,1,0.99428
"4_59",8e-05,0.17442,1,0.06288,0.93126,0.15116,0.55512,0.2501,0.00484,1,1,0.94604
"4_478",4e-05,0.07278,1,0.04432,0.98678,0.05638,0.76928,0.16646,0.00496,1,1,0.9904
"4_211",2e-05,0.1188,1,0.04468,0.97684,0.10278,0.6277,0.22798,0.005,1,1,0.98216
"4_83",6e-05,0.13236,1,0.0481,0.96146,0.11332,0.65874,0.21146,0.00524,1,1,0.96962
"4_407",2e-05,0.10818,1,0.02522,0.96242,0.09518,0.66484,0.22654,0.00478,1,1,0.96924
"4_243",2e-05,0.10662,1,0.0456,0.96982,0.09242,0.68994,0.206,0.00468,1,1,0.97496
"4_87",0.00012,0.03102,1,0.01452,0.99248,0.02424,0.75424,0.18562,0.00474,1,1,0.99488
"4_159",2e-05,0.08314,1,0.03116,0.97858,0.07084,0.67998,0.22148,0.00482,1,1,0.98286
"4_37",2e-05,0.13428,1,0.04034,0.9679,0.11668,0.5882,0.2582,0.0048,1,1,0.97506
"4_244",0.00012,0.09682,1,0.03124,0.96018,0.08538,0.6932,0.18976,0.00532,1,1,0.96662
"4_457",2e-05,0.09072,1,0.02754,0.97264,0.07878,0.68086,0.2206,0.00532,1,1,0.97634
"4_18",4e-05,0.15834,1,0.05084,0.94974,0.1409,0.55338,0.27234,0.00462,1,1,0.9602
"4_262",0.00036,0.11164,1,0.05052,0.96972,0.0882,0.65934,0.20734,0.00522,1,1,0.9791
"4_445",2e-05,0.10006,1,0.03852,0.97616,0.0875,0.7365,0.17142,0.00464,1,1,0.98132
"4_226",2e-05,0.08018,1,0.02644,0.98094,0.06756,0.70336,0.21022,0.00508,1,1,0.98476
"4_16",8e-05,0.12958,1,0.048,0.9598,0.11162,0.55772,0.26978,0.00462,1,1,0.96814
"4_23",2e-05,0.1151,1,0.04374,0.96992,0.10032,0.67182,0.2084,0.0042,1,1,0.97712
"4_52",8e-05,0.06744,1,0.02566,0.9882,0.06122,0.67848,0.22124,0.00482,1,1,0.98988
"4_386",2e-05,0.07374,1,0.03822,0.98394,0.06098,0.72782,0.18834,0.00484,1,1,0.98748
"4_361",4e-05,0.04842,1,0.0201,0.98726,0.04236,0.77624,0.16598,0.00486,1,1,0.98916
"4_509",0.00012,0.0618,1,0.01866,0.98096,0.05274,0.78782,0.15156,0.00542,1,1,0.98416
"4_21",2e-05,0.14772,1,0.05814,0.96866,0.12984,0.4937,0.2938,0.00484,1,1,0.97536
"4_55",6e-05,0.13864,1,0.07966,0.96534,0.11478,0.52642,0.30014,0.00488,1,1,0.9738
"4_135",2e-05,0.07104,1,0.03834,0.98598,0.05984,0.6814,0.21572,0.00542,1,1,0.98966
"4_13",2e-05,0.02508,1,0.01524,0.99578,0.02084,0.6363,0.26646,0.00544,1,1,0.99696
"4_475",4e-05,0.17358,1,0.04746,0.9476,0.14498,0.60124,0.24316,0.00442,1,1,0.95836
"4_63",2e-05,0.06086,1,0.02596,0.98436,0.05356,0.68374,0.22432,0.00458,1,1,0.98714
"4_484",4e-05,0.22064,1,0.05352,0.9318,0.194,0.5228,0.26602,0.00458,1,1,0.94506
"4_419",8e-05,0.11846,1,0.05684,0.97218,0.10178,0.6245,0.24794,0.00468,1,1,0.97798
"4_473",6e-05,0.04676,1,0.02618,0.98624,0.03728,0.80516,0.1478,0.00514,1,1,0.98944
"4_134",8e-05,0.11612,1,0.05146,0.96822,0.09492,0.61264,0.23986,0.00496,1,1,0.97726
"4_187",2e-05,0.05576,1,0.01562,0.98906,0.0484,0.69746,0.22372,0.00446,1,1,0.9913
"4_409",4e-05,0.11116,1,0.04152,0.9724,0.0874,0.66656,0.22562,0.0052,1,1,0.98056
"4_117",6e-05,0.08214,1,0.03816,0.9812,0.07084,0.65548,0.23428,0.00512,1,1,0.98476
"4_416",2e-05,0.10808,1,0.03064,0.97272,0.09158,0.70176,0.19194,0.00516,1,1,0.97842
"4_422",8e-05,0.06496,1,0.04134,0.98888,0.0501,0.70574,0.21278,0.00458,1,1,0.99162
"4_420",6e-05,0.06326,1,0.02526,0.9809,0.05566,0.7557,0.17446,0.00502,1,1,0.98342
"4_505",2e-05,0.08662,1,0.03432,0.97504,0.07362,0.77482,0.14766,0.0059,1,1,0.97898
"4_272",4e-05,0.07478,1,0.0336,0.98122,0.06552,0.68684,0.22036,0.00466,1,1,0.98446
"4_273",2e-05,0.10002,1,0.0405,0.97156,0.08384,0.68246,0.21024,0.00492,1,1,0.97882
"4_456",2e-05,0.13254,1,0.05818,0.96678,0.11408,0.67254,0.20318,0.00496,1,1,0.9726
"4_144",2e-05,0.07438,1,0.02448,0.97274,0.06642,0.6809,0.20498,0.00492,1,1,0.97642
"4_40",2e-05,0.06504,1,0.01782,0.9823,0.0573,0.66176,0.24868,0.00484,1,1,0.98582
"4_335",2e-05,0.11868,1,0.03446,0.96062,0.10498,0.66448,0.21276,0.00524,1,1,0.96708
"4_507",2e-05,0.09906,1,0.05014,0.97612,0.0806,0.72746,0.18324,0.00486,1,1,0.98164
"4_111",2e-05,0.12256,1,0.0579,0.96672,0.10696,0.64272,0.22094,0.00464,1,1,0.9728
"4_129",2e-05,0.05688,1,0.025,0.98548,0.04808,0.6297,0.24852,0.00472,1,1,0.98812
"4_160",4e-05,0.0515,1,0.01864,0.98322,0.0442,0.74444,0.17616,0.00502,1,1,0.98608
"4_6",4e-05,0.12572,1,0.02662,0.96206,0.1156,0.582,0.26816,0.00422,1,1,0.96794
"4_359",2e-05,0.05038,1,0.0211,0.98008,0.04338,0.81224,0.13264,0.0056,1,1,0.98346
"4_121",4e-05,0.05332,1,0.0219,0.98828,0.0467,0.7757,0.16584,0.00536,1,1,0.99036
"4_156",2e-05,0.12986,1,0.05312,0.96696,0.11428,0.6149,0.2497,0.00442,1,1,0.97268
"4_128",2e-05,0.08044,1,0.03262,0.98378,0.06698,0.69482,0.20698,0.00508,1,1,0.98798
"4_421",2e-05,0.05546,1,0.0208,0.98532,0.04832,0.80056,0.13856,0.00542,1,1,0.98726
"4_296",2e-05,0.12012,1,0.03898,0.9681,0.10494,0.67022,0.21154,0.00422,1,1,0.97464
"4_453",8e-05,0.1221,1,0.04666,0.97042,0.09404,0.69724,0.1921,0.00512,1,1,0.98036
"4_69",2e-05,0.2884,1,0.11404,0.91122,0.24694,0.44896,0.27186,0.00488,1,1,0.93596
"4_343",2e-05,0.10668,1,0.03138,0.95312,0.09144,0.7025,0.1944,0.00464,1,1,0.96142
"4_75",2e-05,0.10606,1,0.0402,0.96484,0.09344,0.69134,0.18328,0.00504,1,1,0.97178
"4_389",2e-05,0.14858,1,0.07434,0.94766,0.12104,0.67554,0.19472,0.00472,1,1,0.95886
"4_45",0.00028,0.1484,1,0.05518,0.96656,0.1327,0.56454,0.27568,0.00428,1,1,0.97394
"4_350",2e-05,0.04318,1,0.02462,0.99188,0.03436,0.72864,0.20454,0.00494,1,1,0.99434
"4_451",4e-05,0.1132,1,0.07022,0.96884,0.09072,0.6678,0.22134,0.0047,1,1,0.97608
"4_198",2e-05,0.0335,1,0.01414,0.98802,0.02804,0.74588,0.1808,0.00492,1,1,0.99064
"4_499",2e-05,0.0988,1,0.05386,0.97322,0.07696,0.75372,0.15728,0.00486,1,1,0.98054
"4_191",6e-05,0.1647,1,0.03614,0.96068,0.14842,0.56044,0.2642,0.00436,1,1,0.967
"4_139",2e-05,0.07228,1,0.0274,0.98228,0.06224,0.69754,0.20362,0.00516,1,1,0.98604
"4_42",2e-05,0.11778,1,0.04252,0.9666,0.09822,0.67694,0.20252,0.00494,1,1,0.97568
"4_418",2e-05,0.08736,1,0.03122,0.9749,0.07448,0.73672,0.18138,0.005,1,1,0.97932
"4_11",2e-05,0.0946,1,0.05772,0.98674,0.07546,0.46776,0.35144,0.00418,1,1,0.99072
"4_248",2e-05,0.11574,1,0.02618,0.96422,0.10378,0.68992,0.19564,0.00472,1,1,0.96944
"4_227",4e-05,0.0301,1,0.01676,0.99288,0.02494,0.72966,0.20226,0.0051,1,1,0.99434
"4_256",2e-05,0.13056,1,0.05256,0.95866,0.11588,0.66382,0.2096,0.00522,1,1,0.96566
"4_186",2e-05,0.14502,1,0.04464,0.9597,0.13266,0.51972,0.3057,0.00448,1,1,0.9656
"4_2",4e-05,0.17636,1,0.0711,0.93852,0.15538,0.52332,0.27058,0.00532,1,1,0.95108
"4_276",8e-05,0.10698,1,0.041,0.97892,0.09504,0.5928,0.26708,0.00474,1,1,0.98326
"4_19",6e-05,0.15078,1,0.03246,0.95986,0.13642,0.55916,0.26332,0.00436,1,1,0.96696
"4_202",2e-05,0.13882,1,0.03824,0.96238,0.12638,0.5921,0.25076,0.00436,1,1,0.96752
"4_60",4e-05,0.2018,1,0.09502,0.94764,0.17424,0.51306,0.26486,0.00474,1,1,0.9597
"4_508",8e-05,0.1062,1,0.05856,0.97756,0.08676,0.73772,0.16928,0.0054,1,1,0.98156
"4_442",2e-05,0.09486,1,0.02994,0.97328,0.0832,0.7212,0.17746,0.00508,1,1,0.97792
"4_489",1e-04,0.09966,1,0.05518,0.97834,0.08438,0.70292,0.19662,0.00536,1,1,0.98146
"4_102",2e-05,0.15072,1,0.0484,0.96916,0.13158,0.51234,0.30436,0.00482,1,1,0.97598
"4_34",4e-05,0.17434,1,0.04454,0.94554,0.1569,0.54224,0.26576,0.00522,1,1,0.95546
"4_458",6e-05,0.17984,1,0.0523,0.9554,0.15608,0.53368,0.29086,0.0042,1,1,0.96346
"4_89",6e-05,0.22634,1,0.07254,0.90218,0.20392,0.55102,0.2254,0.00484,1,1,0.92006
"4_504",2e-05,0.00628,1,0.0028,0.99752,0.00548,0.86052,0.12492,0.00514,1,1,0.99782
"4_494",2e-05,0.08676,1,0.03086,0.96732,0.07438,0.74822,0.16732,0.00492,1,1,0.97204
"4_502",2e-05,0.12666,1,0.0473,0.96432,0.1086,0.7195,0.16452,0.00498,1,1,0.97026
"4_61",4e-05,0.06294,1,0.02438,0.98746,0.05604,0.70936,0.21412,0.00526,1,1,0.99012
"4_166",2e-05,0.04516,1,0.01718,0.98764,0.03858,0.75872,0.17798,0.00522,1,1,0.99032
"4_26",2e-05,0.1656,1,0.03982,0.95592,0.15038,0.57468,0.2492,0.00492,1,1,0.96472
"4_278",8e-05,0.11854,1,0.05104,0.95396,0.09874,0.68796,0.18416,0.00512,1,1,0.96442
"4_230",2e-05,0.09562,1,0.05814,0.98016,0.07658,0.668,0.2216,0.00484,1,1,0.98484
"4_297",2e-05,0.10328,1,0.03846,0.9805,0.09082,0.61044,0.2502,0.00502,1,1,0.98494
"4_443",2e-05,0.04364,1,0.03168,0.99348,0.03222,0.77928,0.17248,0.00546,1,1,0.99556
"4_306",2e-05,0.10454,1,0.05976,0.98114,0.08594,0.59776,0.27808,0.00466,1,1,0.98572
"4_184",2e-05,0.0642,1,0.02274,0.98112,0.05544,0.71706,0.20078,0.00476,1,1,0.98544
"4_110",8e-05,0.1797,1,0.0605,0.932,0.16236,0.54098,0.27096,0.00486,1,1,0.94312
"4_325",2e-05,0.07214,1,0.02516,0.97476,0.06274,0.7438,0.17306,0.00498,1,1,0.97854
"4_351",6e-05,0.11044,1,0.04434,0.96104,0.09836,0.7152,0.17626,0.00464,1,1,0.96622
"4_462",8e-05,0.0921,1,0.0375,0.97614,0.07472,0.72746,0.18836,0.00402,1,1,0.9821
"4_270",4e-05,0.13854,1,0.0554,0.96604,0.11542,0.62396,0.23132,0.00476,1,1,0.97482
"4_33",0.00012,0.1162,1,0.02362,0.95624,0.10568,0.622,0.2375,0.00434,1,1,0.96258
"4_291",4e-05,0.08228,1,0.02654,0.97552,0.06936,0.73518,0.18188,0.00502,1,1,0.98016
"4_486",2e-05,0.10214,1,0.03464,0.95716,0.08792,0.74994,0.15526,0.005,1,1,0.96482
"4_173",2e-05,0.03554,1,0.01072,0.98984,0.03148,0.74222,0.19252,0.00512,1,1,0.99168
"4_204",2e-05,0.09112,1,0.0199,0.97664,0.0805,0.72914,0.1722,0.00494,1,1,0.98066
"4_492",2e-05,0.09212,1,0.03906,0.97114,0.07482,0.7186,0.18456,0.00466,1,1,0.97724
"4_228",2e-05,0.1423,1,0.04826,0.96338,0.12666,0.58894,0.24646,0.0044,1,1,0.97066
"4_322",2e-05,0.15168,1,0.06468,0.9561,0.13044,0.58146,0.25216,0.00464,1,1,0.96342
"4_358",2e-05,0.07048,1,0.02318,0.97276,0.06104,0.74818,0.1755,0.00572,1,1,0.97806
"4_384",2e-05,0.08098,1,0.0326,0.98138,0.06924,0.71676,0.1954,0.00508,1,1,0.98502
"4_73",2e-05,0.1743,1,0.0865,0.9567,0.14466,0.533,0.26212,0.0051,1,1,0.96858
"4_247",2e-05,0.07982,1,0.02174,0.97906,0.0693,0.6151,0.24928,0.00474,1,1,0.98314
"4_20",4e-05,0.02904,1,0.01366,0.99324,0.0246,0.75204,0.1999,0.005,1,1,0.99504
"4_283",2e-05,0.06282,1,0.01786,0.98262,0.05322,0.7696,0.16262,0.00498,1,1,0.98666
"4_293",2e-05,0.05496,1,0.02372,0.98764,0.04812,0.76082,0.16812,0.00548,1,1,0.98962
"4_189",0.00028,0.11942,1,0.02394,0.9614,0.10692,0.64188,0.23058,0.0043,1,1,0.9677
"4_387",2e-05,0.06666,1,0.01864,0.97524,0.05868,0.75852,0.16824,0.0049,1,1,0.97946
"4_190",2e-05,0.07868,1,0.01856,0.973,0.06948,0.72596,0.17338,0.00486,1,1,0.977
"4_316",6e-05,0.06018,1,0.02824,0.98806,0.05178,0.74772,0.18192,0.00546,1,1,0.9901
"4_329",2e-05,0.13626,1,0.03688,0.96216,0.11642,0.60838,0.25222,0.0047,1,1,0.97068
"4_136",2e-04,0.13254,1,0.0391,0.95698,0.11584,0.60974,0.24248,0.00474,1,1,0.96486
"4_375",2e-05,0.11236,1,0.05348,0.97436,0.0931,0.672,0.21674,0.00494,1,1,0.98046
"4_394",2e-05,0.1522,1,0.04618,0.92968,0.1348,0.68832,0.172,0.00472,1,1,0.94016
"4_93",2e-05,0.0779,1,0.02468,0.97476,0.06938,0.6705,0.21772,0.00466,1,1,0.97874
"4_207",1e-04,0.0834,1,0.04746,0.9878,0.07126,0.59462,0.28784,0.0048,1,1,0.9899
"4_12",2e-05,0.20334,1,0.0649,0.93112,0.18152,0.4996,0.2804,0.00504,1,1,0.94406
"4_77",6e-05,0.20082,1,0.10052,0.95242,0.1694,0.51478,0.28034,0.0047,1,1,0.9635
"4_251",6e-05,0.10928,1,0.04544,0.96286,0.09752,0.62848,0.24172,0.00472,1,1,0.96776
"4_411",2e-05,0.09754,1,0.03046,0.96656,0.08404,0.7141,0.18032,0.00476,1,1,0.97288
"4_64",0.00014,0.16296,1,0.0914,0.97104,0.13432,0.51396,0.29842,0.004,1,1,0.97792
"4_427",4e-05,0.06988,1,0.03892,0.982,0.05928,0.71544,0.21396,0.00464,1,1,0.98492
"4_324",2e-05,0.12582,1,0.04742,0.9642,0.10854,0.6902,0.18738,0.00504,1,1,0.9719
"4_393",2e-05,0.06926,1,0.0318,0.9783,0.0587,0.74484,0.17186,0.00504,1,1,0.98282
"4_96",4e-05,0.09378,1,0.0285,0.97498,0.07928,0.66256,0.22668,0.00506,1,1,0.98056
"1_175",2e-05,0.06348,1,0.01748,0.98086,0.05696,0.69798,0.20832,0.00508,1,1,0.98422
"1_396",4e-05,0.07096,1,0.0389,0.97576,0.05482,0.77714,0.15494,0.0046,1,1,0.98264
"1_353",2e-05,0.09836,1,0.03628,0.96534,0.08146,0.71014,0.17672,0.00502,1,1,0.97384
"1_483",1e-04,0.08088,1,0.0193,0.96734,0.07052,0.75436,0.1665,0.00488,1,1,0.97274
"1_203",2e-05,0.15892,1,0.04338,0.91474,0.14086,0.67252,0.16868,0.00518,1,1,0.92662
"1_161",2e-05,0.19122,1,0.09734,0.95982,0.15688,0.53076,0.27548,0.00502,1,1,0.9719
"1_335",2e-05,0.0519,1,0.0179,0.9724,0.04446,0.8198,0.12118,0.00544,1,1,0.977
"1_86",2e-05,0.18564,1,0.07172,0.94608,0.1641,0.55324,0.2595,0.0044,1,1,0.9559
"1_228",6e-05,0.17784,1,0.08228,0.92904,0.15206,0.58128,0.23452,0.00506,1,1,0.95034
"1_457",2e-05,0.17682,1,0.04308,0.86812,0.15562,0.71902,0.12076,0.00514,1,1,0.89236
"1_169",2e-05,0.1031,1,0.04498,0.97162,0.08394,0.67764,0.21178,0.0041,1,1,0.97904
"1_149",2e-05,0.05922,1,0.02756,0.98032,0.04846,0.65066,0.2303,0.00424,1,1,0.985
"1_6",4e-05,0.03866,1,0.01402,0.98444,0.03488,0.644,0.22184,0.0053,1,1,0.9872
"1_430",2e-05,0.09094,1,0.0392,0.96828,0.07578,0.72304,0.18418,0.00486,1,1,0.97606
"1_537",2e-05,0.11338,1,0.05478,0.95634,0.09024,0.75908,0.14038,0.00484,1,1,0.96734
"1_515",2e-05,0.04616,1,0.02426,0.9858,0.03948,0.80112,0.14724,0.0046,1,1,0.98832
"1_281",2e-05,0.1497,1,0.07892,0.93994,0.13044,0.64738,0.19388,0.00512,1,1,0.95204
"1_82",2e-05,0.16222,1,0.06826,0.95072,0.14216,0.52748,0.27418,0.00422,1,1,0.963
"4_229",2e-05,0.0772,1,0.02928,0.98042,0.06678,0.71384,0.20732,0.0043,1,1,0.98498
"4_84",2e-05,0.12788,1,0.04254,0.9695,0.10314,0.61084,0.24336,0.0048,1,1,0.97794
"4_338",6e-05,0.05144,1,0.02612,0.98852,0.04328,0.71252,0.21982,0.00508,1,1,0.99082
"4_200",2e-05,0.13308,1,0.0518,0.96952,0.11638,0.63978,0.2239,0.00488,1,1,0.97662
"4_277",2e-05,0.12298,1,0.0409,0.96596,0.10512,0.63068,0.2396,0.00472,1,1,0.97342
"4_303",2e-05,0.15798,1,0.04592,0.95274,0.14068,0.59718,0.23712,0.00396,1,1,0.96056
"4_469",0.00022,0.10984,1,0.02868,0.95906,0.09392,0.73622,0.16008,0.00508,1,1,0.9662
"4_158",4e-05,0.06234,1,0.01744,0.98514,0.05486,0.70556,0.2061,0.0051,1,1,0.98742
"4_415",2e-05,0.12748,1,0.04764,0.96284,0.1091,0.66758,0.21152,0.00526,1,1,0.97034
"4_287",4e-05,0.1534,1,0.05432,0.9467,0.1348,0.59912,0.23368,0.00474,1,1,0.95574
"4_212",2e-05,0.15736,1,0.05654,0.94534,0.14046,0.60426,0.23576,0.00526,1,1,0.95332
"4_65",8e-05,0.13606,1,0.03466,0.96624,0.1225,0.60724,0.24008,0.00514,1,1,0.97258
"4_432",2e-05,0.09046,1,0.05392,0.98266,0.0707,0.69692,0.20354,0.00456,1,1,0.98686
"4_178",4e-05,0.08798,1,0.03666,0.98034,0.07794,0.69766,0.19976,0.00514,1,1,0.98376
"4_405",2e-05,0.10854,1,0.04444,0.9599,0.09176,0.73394,0.15968,0.00496,1,1,0.96808
